season,week,celebrity_name,judge_total,judge_rank_in_week,week_valid,ballroom_partner,celebrity_industry,celebrity_age_during_season,celebrity_homestate,celebrity_homecountry/region,results,placement,elimination_week,relative_judge_score,cumulative_average,trend,is_bottom_2_judge,residual,fan_score
2,3,Drew Lachey,270.0,1.0,True,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,0.846954683255164,255.0,0.0,0,-2.1690442751972006,0.7473488015901836
2,4,Drew Lachey,280.0,1.0,True,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,0.9977531238117472,260.0,10.0,0,-1.8867260257954421,0.7197784695382029
2,5,Drew Lachey,270.0,2.0,True,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,0.9030309191831164,265.0,-10.0,0,-2.453469523735349,0.773246570316941
2,6,Drew Lachey,300.0,1.0,True,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,1.174975585083856,266.0,30.0,0,-1.5545233315059033,0.6850896403532517
2,7,Drew Lachey,275.0,1.0,True,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,1.29969508913473,271.6666666666667,-25.0,0,-1.3159037188110765,0.6588001521147426
2,1,George Hamilton,180.0,7.0,True,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,-0.3620330940191082,0.0,,0,-3.65166373669876,0.8612644346197719
2,2,George Hamilton,220.0,5.0,True,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,0.2474358296526967,180.0,40.0,0,-1.1425376791759962,0.6390559016828713
2,3,George Hamilton,220.0,4.0,True,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,0.365730431405639,200.0,0.0,0,-0.450608045527094,0.5560889410684301
2,4,George Hamilton,210.0,5.0,True,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,0.4252718232640234,206.66666666666663,-10.0,0,-0.7400866114958058,0.591469442586782
2,5,George Hamilton,240.0,4.0,True,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,0.6753760656075408,207.5,30.0,0,0.1198367281933006,0.4850248890243147
2,6,George Hamilton,230.0,3.0,True,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,0.6824708488211618,214.0,-10.0,1,0.752372469543305,0.4070470591775474
2,1,Giselle Fernandez,230.0,2.0,True,Jonathan Roberts,News Anchor,44,,Mexico,Eliminated Week 3,8,3,0.8447438860445861,0.0,,0,3.5569661080641453,0.14449054727073832
2,2,Giselle Fernandez,240.0,3.0,True,Jonathan Roberts,News Anchor,44,,Mexico,Eliminated Week 3,8,3,0.4948716593053935,230.0,10.0,0,3.29389281815405,0.16152207830961315
2,3,Giselle Fernandez,220.0,4.0,True,Jonathan Roberts,News Anchor,44,,Mexico,Eliminated Week 3,8,3,0.365730431405639,235.0,-20.0,0,2.6665310194521634,0.20861972461513462
2,1,Jerry Rice,210.0,4.0,True,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.3620330940191082,0.0,,0,-4.126485829841017,0.887278917763237
2,2,Jerry Rice,230.0,4.0,True,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.3711537444790451,210.0,20.0,0,-3.4075882783710796,0.8460296219049624
2,3,Jerry Rice,190.0,5.0,True,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.076995880295924,220.0,-40.0,0,-4.308840908976345,0.8960811297477899
2,4,Jerry Rice,240.0,4.0,True,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.6706209520701908,210.0,50.0,0,-2.880170834967328,0.8084678784766434
2,5,Jerry Rice,230.0,5.0,True,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.5994911144156823,217.5,-10.0,0,-3.396996711208523,0.8453385097499446
2,6,Jerry Rice,230.0,3.0,True,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.6824708488211618,220.0,0.0,1,-2.2275465478888226,0.7528318969087626
2,7,Jerry Rice,205.0,3.0,True,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.7738069027796368,221.66666666666663,-25.0,1,-2.06110872071835,0.7370233560358327
2,1,Kenny Mayne,130.0,8.0,True,Andrea Hale,Sports Broadcaster,46,Washington,United States,Eliminated Week 1,10,1,-1.5688100740828026,0.0,,1,-1.0120447727771484,0.6238735670897545
2,1,Lisa Rinna,190.0,6.0,True,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,-0.1206776980063694,0.0,,0,-3.8099377677461783,0.8704528723210039
2,2,Lisa Rinna,200.0,6.0,True,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,0.0,190.0,10.0,0,-2.9615041182450543,0.8146861479211456
2,3,Lisa Rinna,250.00000000000003,3.0,True,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,0.6544649825153542,195.0,50.00000000000003,0,-0.542172725658161,0.5673595859923176
2,4,Lisa Rinna,260.0,2.0,True,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,0.834187037940969,213.33333333333331,9.999999999999972,0,0.2523640266368732,0.46849628549962424
2,5,Lisa Rinna,250.00000000000003,3.0,True,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,0.7512610167993995,225.0,-9.999999999999972,0,-0.27129199563545914,0.5338595977794899
2,6,Lisa Rinna,270.0,2.0,True,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,0.9639021266855584,230.0,19.99999999999997,0,0.5365969276959546,0.43332486727170566
2,7,Lisa Rinna,265.0,2.0,True,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,1.2245682053697164,236.66666666666663,-5.0,0,1.0179905702417926,0.3754290836712063
2,1,Master P,120.0,9.0,True,Ashly DelGrosso,Singer/Rapper,35,Louisiana,United States,Eliminated Week 4,7,4,-1.8101654700955412,0.0,,1,-4.853770741729729,0.9188546062393331
2,2,Master P,160.0,8.0,True,Ashly DelGrosso,Singer/Rapper,35,Louisiana,United States,Eliminated Week 4,7,4,-0.4948716593053935,120.0,40.0,1,-1.719019856545792,0.7025582541477258
2,3,Master P,140.0,6.0,True,Ashly DelGrosso,Singer/Rapper,35,Louisiana,United States,Eliminated Week 4,7,4,-0.404228371553601,140.0,-20.0,1,-0.6591350964857163,0.5816541509488772
2,4,Master P,80.0,6.0,True,Ashly DelGrosso,Singer/Rapper,35,Louisiana,United States,Eliminated Week 4,7,4,-0.6379077348960351,140.0,-60.0,1,-1.070687911839535,0.6307286400336912
2,1,Stacy Keibler,220.0,3.0,True,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,0.6033884900318471,0.0,,0,-2.2847598608884354,0.7581163290873357
2,2,Stacy Keibler,290.0,1.0,True,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,1.1134612334371354,220.0,70.0,0,0.18318425595524346,0.47711796244532534
2,3,Stacy Keibler,270.0,1.0,True,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,0.846954683255164,255.0,-20.0,0,-0.16904427519720056,0.5211179636831413
2,4,Stacy Keibler,260.0,2.0,True,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,0.834187037940969,260.0,-10.0,0,-0.5914505533907839,0.5733971941176549
2,5,Stacy Keibler,300.0,1.0,True,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,1.130685772758692,260.0,40.0,0,0.34739309000506546,0.4566847126468263
2,6,Stacy Keibler,300.0,1.0,True,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,1.174975585083856,268.0,0.0,0,0.4521703293500545,0.4437182393600702
2,7,Stacy Keibler,275.0,1.0,True,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,1.29969508913473,273.3333333333333,-25.0,0,0.6896743319022214,0.4146349522304322
2,1,Tatum O'Neal,230.0,2.0,True,Nick Kosovich,Actor/Actress,42,California,United States,Eliminated Week 2,9,2,0.8447438860445861,0.0,,0,4.556966108064145,0.09292073220727401
2,2,Tatum O'Neal,170.0,7.0,True,Nick Kosovich,Actor/Actress,42,California,United States,Eliminated Week 2,9,2,-0.3711537444790451,230.0,-60.0,0,1.1020441001419607,0.36562731808518467
2,1,Tia Carrere,200.0,5.0,True,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,Eliminated Week 5,6,5,0.1206776980063694,0.0,,0,-0.9682117987935976,0.6187169532486366
2,2,Tia Carrere,220.0,5.0,True,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,Eliminated Week 5,6,5,0.2474358296526967,200.0,20.0,0,-0.07560107061642096,0.5094490087285104
2,3,Tia Carrere,260.0,2.0,True,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,Eliminated Week 5,6,5,0.7507098328852589,210.0,40.0,0,2.094189043152638,0.2597834226148725
2,4,Tia Carrere,250.00000000000003,3.0,True,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,Eliminated Week 5,6,5,0.7524039950055802,226.66666666666663,-9.999999999999972,0,1.7362990522544548,0.2956394929533143
2,5,Tia Carrere,220.0,6.0,True,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,Eliminated Week 5,6,5,0.5236061632238238,232.5,-30.00000000000003,1,0.28453587988501194,0.4644928839836994
3,1,Emmitt Smith,240.0,2.0,True,Cheryl Burke,Athlete,37,Florida,United States,1st Place,1,999,1.1326852593525718,0.0,,0,-2.935915586122549,0.812746782169332
3,2,Emmitt Smith,240.0,3.0,True,Cheryl Burke,Athlete,37,Florida,United States,1st Place,1,999,0.414184725015725,240.0,0.0,0,-3.8147435739082196,0.870723593776202
3,3,Emmitt Smith,190.0,5.0,True,Cheryl Burke,Athlete,37,Florida,United States,1st Place,1,999,0.0188980549185813,240.0,-50.0,1,-5.162593496793701,0.9296481269436405
3,4,Emmitt Smith,240.0,4.0,True,Cheryl Burke,Athlete,37,Florida,United States,1st Place,1,999,0.5067307314904086,223.33333333333331,50.0,0,-4.124187585774742,0.8871639371200252
3,5,Emmitt Smith,270.0,1.0,True,Cheryl Burke,Athlete,37,Florida,United States,1st Place,1,999,0.8053186862634502,227.5,30.0,0,-2.3344108455651105,0.7626395113499869
3,6,Emmitt Smith,250.00000000000003,2.0,True,Cheryl Burke,Athlete,37,Florida,United States,1st Place,1,999,1.1382969770627347,236.0,-19.99999999999997,0,-2.1361803266410755,0.7442335480671536
3,7,Emmitt Smith,285.0,1.0,True,Cheryl Burke,Athlete,37,Florida,United States,1st Place,1,999,1.14467417176233,238.33333333333331,34.99999999999997,0,-1.700485397250326,0.7006180515709427
3,8,Emmitt Smith,270.0,2.0,True,Cheryl Burke,Athlete,37,Florida,United States,1st Place,1,999,1.2423891537105098,245.0,-15.0,0,-1.9227331720661374,0.7233953349696789
3,1,Harry Hamlin,170.0,7.0,True,Ashly DelGrosso,Actor/Actress,54,California,United States,Eliminated Week 3,9,3,-0.5445602208425823,0.0,,0,0.02687204905411278,0.4966410443998635
3,2,Harry Hamlin,210.0,6.0,True,Ashly DelGrosso,Actor/Actress,54,California,United States,Eliminated Week 3,9,3,0.012181903676933,170.0,40.0,0,1.9930138709951084,0.26962875358344557
3,3,Harry Hamlin,220.0,3.0,True,Ashly DelGrosso,Actor/Actress,54,California,United States,Eliminated Week 3,9,3,0.3307159610751748,190.0,10.0,0,3.870910889008763,0.12614797350048834
3,1,Jerry Springer,160.0,8.0,True,Kym Johnson,TV Personality,62,,England,Eliminated Week 7,5,7,-0.7841667180133186,0.0,,0,-4.811773783801296,0.9172751083179551
3,2,Jerry Springer,190.0,7.0,True,Kym Johnson,TV Personality,62,,England,Eliminated Week 7,5,7,-0.2558199772155949,160.0,30.0,1,-2.747477939105723,0.7979835687127175
3,3,Jerry Springer,210.0,4.0,True,Kym Johnson,TV Personality,62,,England,Eliminated Week 7,5,7,0.226776659022977,175.0,20.0,0,-0.7790022401239618,0.59616259834162
3,4,Jerry Springer,220.0,5.0,True,Kym Johnson,TV Personality,62,,England,Eliminated Week 7,5,7,0.3378204876602724,186.66666666666663,10.0,0,-0.9610412850628354,0.6178708093822118
3,5,Jerry Springer,240.0,3.0,True,Kym Johnson,TV Personality,62,,England,Eliminated Week 7,5,7,0.5762194048264342,195.0,20.0,1,0.5016541393394407,0.43761993955919604
3,6,Jerry Springer,180.0,5.0,True,Kym Johnson,TV Personality,62,,England,Eliminated Week 7,5,7,0.5800239373568075,204.0,-60.0,1,-0.2948323626721061,0.5367874488204409
3,7,Jerry Springer,230.0,4.0,True,Kym Johnson,TV Personality,62,,England,Eliminated Week 7,5,7,0.7567033740501679,200.0,50.0,1,0.4195998926524114,0.4477415569912572
3,1,Joey Lawrence,210.0,4.0,True,Edyta Sliwinska,Actor/Actress,30,Pennsylvania,United States,3rd Place,3,999,0.4138657678403629,0.0,,0,-3.0351988521065136,0.8201847118313995
3,2,Joey Lawrence,290.0,1.0,True,Edyta Sliwinska,Actor/Actress,30,Pennsylvania,United States,3rd Place,3,999,1.084189427247045,210.0,80.0,0,0.09816285740255859,0.48773210549197393
3,3,Joey Lawrence,220.0,3.0,True,Edyta Sliwinska,Actor/Actress,30,Pennsylvania,United States,3rd Place,3,999,0.3307159610751748,250.0,-70.0,0,-1.9282792853125112,0.7239498645358733
3,4,Joey Lawrence,270.0,3.0,True,Edyta Sliwinska,Actor/Actress,30,Pennsylvania,United States,3rd Place,3,999,0.7600960972356129,240.0,50.0,0,-1.2055293195395853,0.6462885618055547
3,5,Joey Lawrence,250.00000000000003,2.0,True,Edyta Sliwinska,Actor/Actress,30,Pennsylvania,United States,3rd Place,3,999,0.6525858319721064,247.5,-19.99999999999997,0,-0.9531194291725162,0.6169351730535109
3,6,Joey Lawrence,240.0,3.0,True,Edyta Sliwinska,Actor/Actress,30,Pennsylvania,United States,3rd Place,3,999,1.0585436856761736,248.0,-10.000000000000028,0,-0.6531329716510772,0.5809237161849673
3,7,Joey Lawrence,285.0,1.0,True,Edyta Sliwinska,Actor/Actress,30,Pennsylvania,United States,3rd Place,3,999,1.14467417176233,246.66666666666663,45.0,0,0.32740485631616334,0.45916554405263155
3,8,Joey Lawrence,270.0,2.0,True,Edyta Sliwinska,Actor/Actress,30,Pennsylvania,United States,3rd Place,3,999,1.2423891537105098,252.14285714285717,-15.0,0,0.10117275956228244,0.4873561012319818
3,1,Mario Lopez,260.0,1.0,True,Karina Smirnoff,Actor/Actress,32,California,United States,2nd Place,2,999,1.6118982536940445,0.0,,0,-0.6752781529939944,0.5836169126411079
3,2,Mario Lopez,210.0,6.0,True,Karina Smirnoff,Actor/Actress,32,California,United States,2nd Place,2,999,0.012181903676933,260.0,-50.0,0,-4.705771390486802,0.9131633248284583
3,3,Mario Lopez,220.0,3.0,True,Karina Smirnoff,Actor/Actress,32,California,United States,2nd Place,2,999,0.3307159610751748,235.0,10.0,0,-2.9784817417321925,0.8159643041126687
3,4,Mario Lopez,290.0,1.0,True,Karina Smirnoff,Actor/Actress,32,California,United States,2nd Place,2,999,0.9290063410657492,230.0,70.0,0,-1.108206807641571,0.6350870870100687
3,5,Mario Lopez,270.0,1.0,True,Karina Smirnoff,Actor/Actress,32,California,United States,2nd Place,2,999,0.8053186862634502,245.0,-20.0,0,-1.2758413130754818,0.654283271044581
3,6,Mario Lopez,280.0,1.0,True,Karina Smirnoff,Actor/Actress,32,California,United States,2nd Place,2,999,1.3775568512224177,250.0,10.0,0,-0.25128933537665876,0.531369909137915
3,7,Mario Lopez,280.0,2.0,True,Karina Smirnoff,Actor/Actress,32,California,United States,2nd Place,2,999,1.1094040992430427,255.0,0.0,0,-1.1234762794541626,0.6368546168125467
3,8,Mario Lopez,285.0,1.0,True,Karina Smirnoff,Actor/Actress,32,California,United States,2nd Place,2,999,1.351428627307443,258.57142857142856,5.0,0,-0.2686188787083239,0.5335269754875201
3,1,Monique Coleman,190.0,5.0,True,Louis van Amstel,Actor/Actress,25,South Carolina,United States,Eliminated Week 8,4,8,-0.0653472265011097,0.0,,0,-3.295836285235069,0.8386094829018885
3,2,Monique Coleman,260.0,2.0,True,Louis van Amstel,Actor/Actress,25,South Carolina,United States,Eliminated Week 8,4,8,0.682186605908253,190.0,70.0,0,-0.09342971113064813,0.5116765905049412
3,3,Monique Coleman,270.0,1.0,True,Louis van Amstel,Actor/Actress,25,South Carolina,United States,Eliminated Week 8,4,8,0.850412471336164,225.0,10.0,0,0.7366406198064475,0.4089469561778656
3,4,Monique Coleman,240.0,4.0,True,Louis van Amstel,Actor/Actress,25,South Carolina,United States,Eliminated Week 8,4,8,0.5067307314904086,240.0,-30.0,0,-1.068407078641762,0.6304629860015161
3,5,Monique Coleman,270.0,1.0,True,Louis van Amstel,Actor/Actress,25,South Carolina,United States,Eliminated Week 8,4,8,0.8053186862634502,240.0,30.0,0,0.7074245347846242,0.4124824963125528
3,6,Monique Coleman,230.0,4.0,True,Louis van Amstel,Actor/Actress,25,South Carolina,United States,Eliminated Week 8,4,8,0.9787903942896126,246.0,-40.0,0,-0.2169412426527808,0.52709109799805
3,7,Monique Coleman,270.0,3.0,True,Louis van Amstel,Actor/Actress,25,South Carolina,United States,Eliminated Week 8,4,8,1.0388639542044678,243.33333333333331,40.0,0,0.29658881946138216,0.46299418967059186
3,8,Monique Coleman,265.0,3.0,True,Louis van Amstel,Actor/Actress,25,South Carolina,United States,Eliminated Week 8,4,8,1.206042662511532,247.14285714285717,-5.0,1,0.7854033229684054,0.4030671002295617
3,1,Sara Evans,150.0,9.0,True,Tony Dovolani,Singer/Rapper,35,Missouri,United States,Withdrew,6,-1,-1.0237732151840548,0.0,,1,-4.468787738301241,0.9032958549830209
3,2,Sara Evans,210.0,6.0,True,Tony Dovolani,Singer/Rapper,35,Missouri,United States,Withdrew,6,-1,0.012181903676933,150.0,60.0,0,-1.073922737564466,0.6311052719821746
3,3,Sara Evans,250.00000000000003,2.0,True,Tony Dovolani,Singer/Rapper,35,Missouri,United States,Withdrew,6,-1,0.6425338672317688,180.0,40.00000000000003,0,1.80326613770358,0.28871501686997764
3,4,Sara Evans,200.0,6.0,True,Tony Dovolani,Singer/Rapper,35,Missouri,United States,Withdrew,6,-1,0.1689102438301362,203.33333333333331,-50.00000000000003,1,-0.4377654831699296,0.5545032562710519
3,5,Sara Evans,240.0,3.0,True,Tony Dovolani,Singer/Rapper,35,Missouri,United States,Withdrew,6,-1,0.5762194048264342,202.5,40.0,1,1.5267553675492813,0.31791338413378145
3,1,Shanna Moakler,180.0,6.0,True,Jesse DeSoto,Model,31,Rhode Island,United States,Eliminated Week 2,10,2,-0.304953723671846,0.0,,0,1.865517881909522,0.28236532057464475
3,2,Shanna Moakler,220.0,5.0,True,Jesse DeSoto,Model,31,Rhode Island,United States,Eliminated Week 2,10,2,0.146182844123197,180.0,40.0,0,3.679136983654283,0.1371023342789092
3,1,Tucker Carlson,120.0,10.0,True,Elena Grinenko,TV Personality,37,California,United States,Eliminated Week 1,11,1,-1.7425927066962636,0.0,,1,-1.1514167717029409,0.6400793092914041
3,1,Vivica A. Fox,220.0,3.0,True,Nick Kosovich,Actor/Actress,42,Indiana,United States,Eliminated Week 4,8,4,0.6534722650110991,0.0,,0,2.8034469807488955,0.19754276197909107
3,2,Vivica A. Fox,240.0,3.0,True,Nick Kosovich,Actor/Actress,42,Indiana,United States,Eliminated Week 4,8,4,0.414184725015725,220.0,20.0,0,3.118319817532205,0.17376722769333441
3,3,Vivica A. Fox,270.0,1.0,True,Nick Kosovich,Actor/Actress,42,Indiana,United States,Eliminated Week 4,8,4,0.850412471336164,230.0,30.0,0,4.753374771946341,0.08496776180623392
3,4,Vivica A. Fox,240.0,4.0,True,Nick Kosovich,Actor/Actress,42,Indiana,United States,Eliminated Week 4,8,4,0.5067307314904086,243.33333333333331,-30.0,0,2.9427490227848336,0.18673378490076953
3,1,Willa Ford,220.0,3.0,True,Maksim Chmerkoskiy,Singer/Rapper,25,Florida,United States,Eliminated Week 5,7,5,0.6534722650110991,0.0,,0,1.8034469807488955,0.28869644838237807
3,2,Willa Ford,230.0,4.0,True,Maksim Chmerkoskiy,Singer/Rapper,25,Florida,United States,Eliminated Week 5,7,5,0.280183784569461,220.0,10.0,0,1.4656650091528194,0.3245734618122313
3,3,Willa Ford,220.0,3.0,True,Maksim Chmerkoskiy,Singer/Rapper,25,Florida,United States,Eliminated Week 5,7,5,0.3307159610751748,225.0,-10.0,0,1.9880499539880194,0.27011780278357633
3,4,Willa Ford,280.0,2.0,True,Maksim Chmerkoskiy,Singer/Rapper,25,Florida,United States,Eliminated Week 5,7,5,0.844551219150681,223.33333333333331,60.0,0,3.304085581416336,0.16083305167378875
3,5,Willa Ford,270.0,1.0,True,Maksim Chmerkoskiy,Singer/Rapper,25,Florida,United States,Eliminated Week 5,7,5,0.8053186862634502,237.5,-10.0,0,3.699057458714677,0.13592823907575088
4,1,Apolo Anton Ohno,210.0,3.0,True,Julianne Hough,Athlete,24,Washington,United States,1st Place,1,999,0.6725875846772351,0.0,,0,-4.162887386512033,0.8890864783424187
4,2,Apolo Anton Ohno,260.0,2.0,True,Julianne Hough,Athlete,24,Washington,United States,1st Place,1,999,1.38732196678482,210.0,50.0,0,-1.7846186005893854,0.709366501092951
4,3,Apolo Anton Ohno,230.0,2.0,True,Julianne Hough,Athlete,24,Washington,United States,1st Place,1,999,0.4537883689656437,235.0,-30.0,0,-3.345074111523317,0.8419137834875969
4,4,Apolo Anton Ohno,260.0,2.0,True,Julianne Hough,Athlete,24,Washington,United States,1st Place,1,999,0.9188222695259436,233.33333333333331,30.0,0,-2.531640982673863,0.780026445508514
4,5,Apolo Anton Ohno,300.0,1.0,True,Julianne Hough,Athlete,24,Washington,United States,1st Place,1,999,1.2316768503861268,240.0,40.0,0,-1.5416794499063928,0.6837025151068705
4,6,Apolo Anton Ohno,280.0,1.0,True,Julianne Hough,Athlete,24,Washington,United States,1st Place,1,999,0.9990980501368822,252.0,-20.0,0,-1.9111320038496151,0.7222331671460972
4,7,Apolo Anton Ohno,270.0,2.0,True,Julianne Hough,Athlete,24,Washington,United States,1st Place,1,999,0.9408800285666232,256.6666666666667,-10.0,0,-2.4147004570152175,0.7698297667431778
4,8,Apolo Anton Ohno,290.0,1.0,True,Julianne Hough,Athlete,24,Washington,United States,1st Place,1,999,1.3181578149292927,258.57142857142856,20.0,0,-1.3272149665591417,0.660070293337217
4,9,Apolo Anton Ohno,295.0,2.0,True,Julianne Hough,Athlete,24,Washington,United States,1st Place,1,999,1.2527565654153865,262.5,5.0,0,-1.8459046995740853,0.7156432852067564
