season,celebrity_name,week,judge_total,judge_rank_in_week,week_valid,ballroom_partner,celebrity_industry,celebrity_age_during_season,celebrity_homestate,celebrity_homecountry/region,results,placement,elimination_week,relative_judge_score,cumulative_average,trend,is_bottom_2_judge
1,Joey McIntyre,6,0.0,3.0,False,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,-0.6454564805683923,211.0,-225.0,True
1,Joey McIntyre,7,,,False,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.0,175.83333333333334,,False
1,Joey McIntyre,8,,,False,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.0,175.83333333333334,,False
1,Joey McIntyre,9,,,False,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.0,175.83333333333334,,False
1,Joey McIntyre,10,,,False,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.0,175.83333333333334,,False
1,Joey McIntyre,11,,,False,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.0,175.83333333333334,,False
1,John O'Hurley,1,200.0,1.0,True,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,0.675469782334978,,,False
1,John O'Hurley,2,260.0,1.0,True,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,1.3120490606272976,200.0,60.0,False
1,John O'Hurley,3,240.0,2.0,True,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,0.6509292743361552,230.0,-20.0,False
1,John O'Hurley,4,210.0,3.0,True,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,0.468548966817431,233.33333333333334,-30.0,False
1,John O'Hurley,5,270.0,1.0,True,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,1.1060211022070527,227.5,60.0,False
1,John O'Hurley,6,270.0,2.0,True,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,1.2731481038734347,236.0,0.0,True
1,John O'Hurley,7,,,False,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,0.0,241.66666666666666,,False
1,John O'Hurley,8,,,False,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,0.0,241.66666666666666,,False
1,John O'Hurley,9,,,False,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,0.0,241.66666666666666,,False
1,John O'Hurley,10,,,False,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,0.0,241.66666666666666,,False
1,John O'Hurley,11,,,False,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,0.0,241.66666666666666,,False
1,Kelly Monaco,1,130.0,3.0,True,Alec Mazo,Actor/Actress,29,Pennsylvania,United States,1st Place,1,999,-1.903596659307664,,,True
1,Kelly Monaco,2,170.0,5.0,True,Alec Mazo,Actor/Actress,29,Pennsylvania,United States,1st Place,1,999,-0.7122552043405326,130.0,40.0,True
1,Kelly Monaco,3,210.0,4.0,True,Alec Mazo,Actor/Actress,29,Pennsylvania,United States,1st Place,1,999,0.34259435491376594,150.0,40.0,False
1,Kelly Monaco,4,260.0,1.0,True,Alec Mazo,Actor/Actress,29,Pennsylvania,United States,1st Place,1,999,0.8819745257739878,170.0,50.0,False
1,Kelly Monaco,5,235.0,2.0,True,Alec Mazo,Actor/Actress,29,Pennsylvania,United States,1st Place,1,999,0.8450498308997707,192.5,-25.0,False
1,Kelly Monaco,6,275.0,1.0,True,Alec Mazo,Actor/Actress,29,Pennsylvania,United States,1st Place,1,999,1.3086778184001353,201.0,40.0,False
1,Kelly Monaco,7,,,False,Alec Mazo,Actor/Actress,29,Pennsylvania,United States,1st Place,1,999,0.0,213.33333333333334,,False
1,Kelly Monaco,8,,,False,Alec Mazo,Actor/Actress,29,Pennsylvania,United States,1st Place,1,999,0.0,213.33333333333334,,False
1,Kelly Monaco,9,,,False,Alec Mazo,Actor/Actress,29,Pennsylvania,United States,1st Place,1,999,0.0,213.33333333333334,,False
1,Kelly Monaco,10,,,False,Alec Mazo,Actor/Actress,29,Pennsylvania,United States,1st Place,1,999,0.0,213.33333333333334,,False
1,Kelly Monaco,11,,,False,Alec Mazo,Actor/Actress,29,Pennsylvania,United States,1st Place,1,999,0.0,213.33333333333334,,False
1,Rachel Hunter,1,200.0,1.0,True,Jonathan Roberts,Model,35,,New Zealand,Eliminated Week 4,4,4,0.675469782334978,,,False
1,Rachel Hunter,2,240.0,2.0,True,Jonathan Roberts,Model,35,,New Zealand,Eliminated Week 4,4,4,0.8622036684122242,200.0,40.0,False
1,Rachel Hunter,3,260.0,1.0,True,Jonathan Roberts,Model,35,,New Zealand,Eliminated Week 4,4,4,0.8564858872844147,220.0,20.0,False
1,Rachel Hunter,4,250.00000000000003,2.0,True,Jonathan Roberts,Model,35,,New Zealand,Eliminated Week 4,4,4,0.7992894139826767,233.33333333333334,-9.999999999999972,False
1,Rachel Hunter,5,,4.0,False,Jonathan Roberts,Model,35,,New Zealand,Eliminated Week 4,4,4,-0.9071858478776952,237.5,-250.00000000000003,True
1,Rachel Hunter,6,,3.0,False,Jonathan Roberts,Model,35,,New Zealand,Eliminated Week 4,4,4,-0.6454564805683923,190.0,0.0,True
1,Rachel Hunter,7,,,False,Jonathan Roberts,Model,35,,New Zealand,Eliminated Week 4,4,4,0.0,158.33333333333334,,False
1,Rachel Hunter,8,,,False,Jonathan Roberts,Model,35,,New Zealand,Eliminated Week 4,4,4,0.0,158.33333333333334,,False
1,Rachel Hunter,9,,,False,Jonathan Roberts,Model,35,,New Zealand,Eliminated Week 4,4,4,0.0,158.33333333333334,,False
1,Rachel Hunter,10,,,False,Jonathan Roberts,Model,35,,New Zealand,Eliminated Week 4,4,4,0.0,158.33333333333334,,False
1,Rachel Hunter,11,,,False,Jonathan Roberts,Model,35,,New Zealand,Eliminated Week 4,4,4,0.0,158.33333333333334,,False
1,Trista Sutter,1,180.0,2.0,True,Louis van Amstel,TV Personality,32,Indiana,United States,Eliminated Week 2,6,2,-0.061406343848633985,,,True
1,Trista Sutter,2,190.0,4.0,True,Louis van Amstel,TV Personality,32,Indiana,United States,Eliminated Week 2,6,2,-0.2624098121254593,180.0,10.0,False
1,Trista Sutter,3,,6.0,False,Louis van Amstel,TV Personality,32,Indiana,United States,Eliminated Week 2,6,2,-1.8157500810429588,185.0,-190.0,True
1,Trista Sutter,4,,5.0,False,Louis van Amstel,TV Personality,32,Indiana,United States,Eliminated Week 2,6,2,-1.2678383808001077,123.33333333333333,0.0,True
1,Trista Sutter,5,,4.0,False,Louis van Amstel,TV Personality,32,Indiana,United States,Eliminated Week 2,6,2,-0.9071858478776952,92.5,0.0,True
1,Trista Sutter,6,,3.0,False,Louis van Amstel,TV Personality,32,Indiana,United States,Eliminated Week 2,6,2,-0.6454564805683923,74.0,0.0,True
1,Trista Sutter,7,,,False,Louis van Amstel,TV Personality,32,Indiana,United States,Eliminated Week 2,6,2,0.0,61.666666666666664,,False
1,Trista Sutter,8,,,False,Louis van Amstel,TV Personality,32,Indiana,United States,Eliminated Week 2,6,2,0.0,61.666666666666664,,False
1,Trista Sutter,9,,,False,Louis van Amstel,TV Personality,32,Indiana,United States,Eliminated Week 2,6,2,0.0,61.666666666666664,,False
1,Trista Sutter,10,,,False,Louis van Amstel,TV Personality,32,Indiana,United States,Eliminated Week 2,6,2,0.0,61.666666666666664,,False
1,Trista Sutter,11,,,False,Louis van Amstel,TV Personality,32,Indiana,United States,Eliminated Week 2,6,2,0.0,61.666666666666664,,False
2,Drew Lachey,1,240.0,1.0,True,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,1.086099282057325,,,False
2,Drew Lachey,2,270.0,2.0,True,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,0.8660254037844386,240.0,30.0,False
2,Drew Lachey,3,270.0,1.0,True,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,0.846954683255164,255.0,0.0,False
2,Drew Lachey,4,280.0,1.0,True,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,0.9977531238117473,260.0,10.0,False
2,Drew Lachey,5,270.0,2.0,True,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,0.9030309191831163,265.0,-10.0,False
2,Drew Lachey,6,300.0,1.0,True,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,1.174975585083856,266.0,30.0,False
2,Drew Lachey,7,275.0,1.0,True,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,1.2996950891347299,271.6666666666667,-25.0,False
2,Drew Lachey,8,289.99800000000005,1.0,True,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,1.5131433807423786,272.14285714285717,14.998000000000047,False
2,Drew Lachey,9,,,False,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,0.0,274.37475,,False
2,Drew Lachey,10,,,False,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,0.0,274.37475,,False
2,Drew Lachey,11,,,False,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,0.0,274.37475,,False
2,George Hamilton,1,180.0,7.0,True,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,-0.36203309401910827,,,False
2,George Hamilton,2,220.0,5.0,True,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,0.24743582965269675,180.0,40.0,False
2,George Hamilton,3,220.0,4.0,True,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,0.365730431405639,200.0,0.0,False
2,George Hamilton,4,210.0,5.0,True,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,0.4252718232640234,206.66666666666666,-10.0,False
2,George Hamilton,5,240.0,4.0,True,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,0.6753760656075408,207.5,30.0,False
2,George Hamilton,6,230.0,3.0,True,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,0.6824708488211618,214.0,-10.0,True
2,George Hamilton,7,,4.0,False,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,-0.7662942144031355,216.66666666666666,-230.0,True
2,George Hamilton,8,,4.0,False,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,-0.6204638969558225,185.71428571428572,0.0,True
2,George Hamilton,9,,,False,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,0.0,162.5,,False
2,George Hamilton,10,,,False,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,0.0,162.5,,False
2,George Hamilton,11,,,False,Edyta Sliwinska,Actor/Actress,66,Tennessee,United States,Eliminated Week 6,5,6,0.0,162.5,,False
2,Giselle Fernandez,1,230.0,2.0,True,Jonathan Roberts,News Anchor,44,,Mexico,Eliminated Week 3,8,3,0.8447438860445861,,,False
2,Giselle Fernandez,2,240.0,3.0,True,Jonathan Roberts,News Anchor,44,,Mexico,Eliminated Week 3,8,3,0.4948716593053935,230.0,10.0,False
2,Giselle Fernandez,3,220.0,4.0,True,Jonathan Roberts,News Anchor,44,,Mexico,Eliminated Week 3,8,3,0.365730431405639,235.0,-20.0,False
2,Giselle Fernandez,4,,7.0,False,Jonathan Roberts,News Anchor,44,,Mexico,Eliminated Week 3,8,3,-1.2921720783791482,230.0,-220.0,True
2,Giselle Fernandez,5,,7.0,False,Jonathan Roberts,News Anchor,44,,Mexico,Eliminated Week 3,8,3,-1.1458627629970637,172.5,0.0,True
2,Giselle Fernandez,6,,4.0,False,Jonathan Roberts,News Anchor,44,,Mexico,Eliminated Week 3,8,3,-0.9357589988991187,138.0,0.0,True
2,Giselle Fernandez,7,,4.0,False,Jonathan Roberts,News Anchor,44,,Mexico,Eliminated Week 3,8,3,-0.7662942144031355,115.0,0.0,True
2,Giselle Fernandez,8,,4.0,False,Jonathan Roberts,News Anchor,44,,Mexico,Eliminated Week 3,8,3,-0.6204638969558225,98.57142857142857,0.0,True
2,Giselle Fernandez,9,,,False,Jonathan Roberts,News Anchor,44,,Mexico,Eliminated Week 3,8,3,0.0,86.25,,False
2,Giselle Fernandez,10,,,False,Jonathan Roberts,News Anchor,44,,Mexico,Eliminated Week 3,8,3,0.0,86.25,,False
2,Giselle Fernandez,11,,,False,Jonathan Roberts,News Anchor,44,,Mexico,Eliminated Week 3,8,3,0.0,86.25,,False
2,Jerry Rice,1,210.0,4.0,True,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.36203309401910827,,,False
2,Jerry Rice,2,230.0,4.0,True,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.37115374447904514,210.0,20.0,False
2,Jerry Rice,3,190.0,5.0,True,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.076995880295924,220.0,-40.0,False
2,Jerry Rice,4,240.0,4.0,True,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.6706209520701908,210.0,50.0,False
2,Jerry Rice,5,230.0,5.0,True,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.5994911144156823,217.5,-10.0,False
2,Jerry Rice,6,230.0,3.0,True,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.6824708488211618,220.0,0.0,True
2,Jerry Rice,7,205.0,3.0,True,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.7738069027796368,221.66666666666666,-25.0,True
2,Jerry Rice,8,266.666,3.0,True,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,1.3414824554833957,219.28571428571428,61.666,True
2,Jerry Rice,9,,,False,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.0,225.20825,,False
2,Jerry Rice,10,,,False,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.0,225.20825,,False
2,Jerry Rice,11,,,False,Anna Trebunskaya,Athlete,43,Mississippi,United States,2nd Place,2,999,0.0,225.20825,,False
2,Kenny Mayne,1,130.0,8.0,True,Andrea Hale,Sports Broadcaster,46,Washington,United States,Eliminated Week 1,10,1,-1.5688100740828026,,,True
2,Kenny Mayne,2,,9.0,False,Andrea Hale,Sports Broadcaster,46,Washington,United States,Eliminated Week 1,10,1,-2.4743582965269675,130.0,-130.0,True
2,Kenny Mayne,3,,7.0,False,Andrea Hale,Sports Broadcaster,46,Washington,United States,Eliminated Week 1,10,1,-1.751656276732271,65.0,0.0,True
2,Kenny Mayne,4,,7.0,False,Andrea Hale,Sports Broadcaster,46,Washington,United States,Eliminated Week 1,10,1,-1.2921720783791482,43.333333333333336,0.0,True
2,Kenny Mayne,5,,7.0,False,Andrea Hale,Sports Broadcaster,46,Washington,United States,Eliminated Week 1,10,1,-1.1458627629970637,32.5,0.0,True
2,Kenny Mayne,6,,4.0,False,Andrea Hale,Sports Broadcaster,46,Washington,United States,Eliminated Week 1,10,1,-0.9357589988991187,26.0,0.0,True
2,Kenny Mayne,7,,4.0,False,Andrea Hale,Sports Broadcaster,46,Washington,United States,Eliminated Week 1,10,1,-0.7662942144031355,21.666666666666668,0.0,True
2,Kenny Mayne,8,,4.0,False,Andrea Hale,Sports Broadcaster,46,Washington,United States,Eliminated Week 1,10,1,-0.6204638969558225,18.571428571428573,0.0,True
2,Kenny Mayne,9,,,False,Andrea Hale,Sports Broadcaster,46,Washington,United States,Eliminated Week 1,10,1,0.0,16.25,,False
2,Kenny Mayne,10,,,False,Andrea Hale,Sports Broadcaster,46,Washington,United States,Eliminated Week 1,10,1,0.0,16.25,,False
2,Kenny Mayne,11,,,False,Andrea Hale,Sports Broadcaster,46,Washington,United States,Eliminated Week 1,10,1,0.0,16.25,,False
2,Lisa Rinna,1,190.0,6.0,True,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,-0.12067769800636943,,,False
2,Lisa Rinna,2,200.0,6.0,True,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,0.0,190.0,10.0,False
2,Lisa Rinna,3,250.00000000000003,3.0,True,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,0.6544649825153542,195.0,50.00000000000003,False
2,Lisa Rinna,4,260.0,2.0,True,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,0.834187037940969,213.33333333333334,9.999999999999972,False
2,Lisa Rinna,5,250.00000000000003,3.0,True,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,0.7512610167993995,225.0,-9.999999999999972,False
2,Lisa Rinna,6,270.0,2.0,True,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,0.9639021266855584,230.0,19.99999999999997,False
2,Lisa Rinna,7,265.0,2.0,True,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,1.2245682053697164,236.66666666666666,-5.0,False
2,Lisa Rinna,8,,4.0,False,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,-0.6204638969558225,240.71428571428572,-265.0,True
2,Lisa Rinna,9,,,False,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,0.0,210.625,,False
2,Lisa Rinna,10,,,False,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,0.0,210.625,,False
2,Lisa Rinna,11,,,False,Louis van Amstel,Actor/Actress,42,California,United States,Eliminated Week 7,4,7,0.0,210.625,,False
2,Master P,1,120.0,9.0,True,Ashly DelGrosso,Singer/Rapper,35,Louisiana,United States,Eliminated Week 4,7,4,-1.8101654700955414,,,True
2,Master P,2,160.0,8.0,True,Ashly DelGrosso,Singer/Rapper,35,Louisiana,United States,Eliminated Week 4,7,4,-0.4948716593053935,120.0,40.0,True
2,Master P,3,140.0,6.0,True,Ashly DelGrosso,Singer/Rapper,35,Louisiana,United States,Eliminated Week 4,7,4,-0.404228371553601,140.0,-20.0,True
2,Master P,4,80.0,6.0,True,Ashly DelGrosso,Singer/Rapper,35,Louisiana,United States,Eliminated Week 4,7,4,-0.6379077348960351,140.0,-60.0,True
2,Master P,5,,7.0,False,Ashly DelGrosso,Singer/Rapper,35,Louisiana,United States,Eliminated Week 4,7,4,-1.1458627629970637,125.0,-80.0,True
2,Master P,6,,4.0,False,Ashly DelGrosso,Singer/Rapper,35,Louisiana,United States,Eliminated Week 4,7,4,-0.9357589988991187,100.0,0.0,True
2,Master P,7,,4.0,False,Ashly DelGrosso,Singer/Rapper,35,Louisiana,United States,Eliminated Week 4,7,4,-0.7662942144031355,83.33333333333333,0.0,True
2,Master P,8,,4.0,False,Ashly DelGrosso,Singer/Rapper,35,Louisiana,United States,Eliminated Week 4,7,4,-0.6204638969558225,71.42857142857143,0.0,True
2,Master P,9,,,False,Ashly DelGrosso,Singer/Rapper,35,Louisiana,United States,Eliminated Week 4,7,4,0.0,62.5,,False
2,Master P,10,,,False,Ashly DelGrosso,Singer/Rapper,35,Louisiana,United States,Eliminated Week 4,7,4,0.0,62.5,,False
2,Master P,11,,,False,Ashly DelGrosso,Singer/Rapper,35,Louisiana,United States,Eliminated Week 4,7,4,0.0,62.5,,False
2,Stacy Keibler,1,220.0,3.0,True,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,0.6033884900318471,,,False
2,Stacy Keibler,2,290.0,1.0,True,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,1.1134612334371354,220.0,70.0,False
2,Stacy Keibler,3,270.0,1.0,True,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,0.846954683255164,255.0,-20.0,False
2,Stacy Keibler,4,260.0,2.0,True,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,0.834187037940969,260.0,-10.0,False
2,Stacy Keibler,5,300.0,1.0,True,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,1.1306857727586919,260.0,40.0,False
2,Stacy Keibler,6,300.0,1.0,True,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,1.174975585083856,268.0,0.0,False
2,Stacy Keibler,7,275.0,1.0,True,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,1.2996950891347299,273.3333333333333,-25.0,False
2,Stacy Keibler,8,286.665,2.0,True,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,1.488621442464983,273.57142857142856,11.66500000000002,False
2,Stacy Keibler,9,,,False,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,0.0,275.208125,,False
2,Stacy Keibler,10,,,False,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,0.0,275.208125,,False
2,Stacy Keibler,11,,,False,Tony Dovolani,Athlete,26,Maryland,United States,3rd Place,3,999,0.0,275.208125,,False
2,Tatum O'Neal,1,230.0,2.0,True,Nick Kosovich,Actor/Actress,42,California,United States,Eliminated Week 2,9,2,0.8447438860445861,,,False
2,Tatum O'Neal,2,170.0,7.0,True,Nick Kosovich,Actor/Actress,42,California,United States,Eliminated Week 2,9,2,-0.37115374447904514,230.0,-60.0,False
2,Tatum O'Neal,3,,7.0,False,Nick Kosovich,Actor/Actress,42,California,United States,Eliminated Week 2,9,2,-1.751656276732271,200.0,-170.0,True
2,Tatum O'Neal,4,,7.0,False,Nick Kosovich,Actor/Actress,42,California,United States,Eliminated Week 2,9,2,-1.2921720783791482,133.33333333333334,0.0,True
2,Tatum O'Neal,5,,7.0,False,Nick Kosovich,Actor/Actress,42,California,United States,Eliminated Week 2,9,2,-1.1458627629970637,100.0,0.0,True
2,Tatum O'Neal,6,,4.0,False,Nick Kosovich,Actor/Actress,42,California,United States,Eliminated Week 2,9,2,-0.9357589988991187,80.0,0.0,True
2,Tatum O'Neal,7,,4.0,False,Nick Kosovich,Actor/Actress,42,California,United States,Eliminated Week 2,9,2,-0.7662942144031355,66.66666666666667,0.0,True
2,Tatum O'Neal,8,,4.0,False,Nick Kosovich,Actor/Actress,42,California,United States,Eliminated Week 2,9,2,-0.6204638969558225,57.142857142857146,0.0,True
2,Tatum O'Neal,9,,,False,Nick Kosovich,Actor/Actress,42,California,United States,Eliminated Week 2,9,2,0.0,50.0,,False
2,Tatum O'Neal,10,,,False,Nick Kosovich,Actor/Actress,42,California,United States,Eliminated Week 2,9,2,0.0,50.0,,False
2,Tatum O'Neal,11,,,False,Nick Kosovich,Actor/Actress,42,California,United States,Eliminated Week 2,9,2,0.0,50.0,,False
2,Tia Carrere,1,200.0,5.0,True,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,Eliminated Week 5,6,5,0.12067769800636943,,,False
2,Tia Carrere,2,220.0,5.0,True,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,Eliminated Week 5,6,5,0.24743582965269675,200.0,20.0,False
2,Tia Carrere,3,260.0,2.0,True,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,Eliminated Week 5,6,5,0.7507098328852589,210.0,40.0,False
2,Tia Carrere,4,250.00000000000003,3.0,True,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,Eliminated Week 5,6,5,0.7524039950055802,226.66666666666666,-9.999999999999972,False
2,Tia Carrere,5,220.0,6.0,True,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,Eliminated Week 5,6,5,0.5236061632238238,232.5,-30.00000000000003,True
2,Tia Carrere,6,,4.0,False,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,Eliminated Week 5,6,5,-0.9357589988991187,230.0,-220.0,True
2,Tia Carrere,7,,4.0,False,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,Eliminated Week 5,6,5,-0.7662942144031355,191.66666666666666,0.0,True
2,Tia Carrere,8,,4.0,False,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,Eliminated Week 5,6,5,-0.6204638969558225,164.28571428571428,0.0,True
2,Tia Carrere,9,,,False,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,Eliminated Week 5,6,5,0.0,143.75,,False
2,Tia Carrere,10,,,False,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,Eliminated Week 5,6,5,0.0,143.75,,False
2,Tia Carrere,11,,,False,Maksim Chmerkoskiy,Actor/Actress,39,Hawaii,United States,Eliminated Week 5,6,5,0.0,143.75,,False
3,Emmitt Smith,1,240.0,2.0,True,Cheryl Burke,Athlete,37,Florida,United States,1st Place,1,999,1.1326852593525718,,,False
3,Emmitt Smith,2,240.0,3.0,True,Cheryl Burke,Athlete,37,Florida,United States,1st Place,1,999,0.414184725015725,240.0,0.0,False
3,Emmitt Smith,3,190.0,5.0,True,Cheryl Burke,Athlete,37,Florida,United States,1st Place,1,999,0.01889805491858137,240.0,-50.0,True
