season,celebrity_name,ballroom_partner,celebrity_industry,celebrity_age_during_season,celebrity_homestate,celebrity_homecountry/region,placement,results,elimination_week,avg_judge_score,age_group
15,Shawn Johnson,Derek Hough,Athlete,20,Iowa,United States,2,2nd Place,999,283.6524,20-30
16,Alexandra Raisman,Mark Ballas,Athlete,18,Massachusetts,United States,4,Eliminated Week 10,10,264.5,<20
16,Andy Dick,Sharna Burgess,Comedian,47,South Carolina,United States,7,Eliminated Week 7,7,189.28571428571428,40-50
16,D. L. Hughley,Cheryl Burke,Comedian,50,Virginia,United States,9,Eliminated Week 5,5,166.0,50-60
16,Dorothy Hamill,Tristan MacManus,Athlete,56,Illinois,United States,12,Withdrew,-1,36.0,50-60
16,Ingo Rademacher,Kym Johnson,Actor/Actress,41,,Germany,5,Eliminated Week 9,9,225.0,40-50
16,Jacoby Jones,Karina Smirnoff,Athlete,28,Louisiana,United States,3,3rd Place,999,251.9997,20-30
16,Kellie Pickler,Derek Hough,Singer/Rapper,26,North Carolina,United States,1,1st Place,999,267.5,20-30
16,Lisa Vanderpump,Gleb Savchenko,TV Personality,52,,England,10,Eliminated Week 4,4,187.5,50-60
16,Sean Lowe,Peta Murgatroyd,TV Personality,29,Texas,United States,6,Eliminated Week 8,8,215.0,20-30
16,Victor Ortiz,Lindsay Arnold,Athlete,26,Kansas,United States,8,Eliminated Week 6,6,196.66666666666666,20-30
16,Wynonna Judd,Tony Dovolani,Singer/Rapper,48,Kentucky,United States,11,Eliminated Week 3,3,170.0,40-50
16,Zendaya,Valentin Chmerkovskiy,Actor/Actress,16,California,United States,2,2nd Place,999,272.9998,<20
17,Amber Riley,Derek Hough,Actor/Actress,27,California,United States,1,1st Place,999,276.3255454545455,20-30
17,Bill Engvall,Emma Slater,Comedian,56,Texas,United States,4,Eliminated Week 11,11,227.27254545454545,50-60
17,Bill Nye,Tyne Stecklein,TV Personality,57,Washington D.C.,United States,11,Eliminated Week 3,3,156.66666666666666,50-60
17,Brant Daugherty,Peta Murgatroyd,Actor/Actress,28,Ohio,United States,7,Eliminated Week 8,8,258.125,20-30
17,Christina Milian,Mark Ballas,Singer/Rapper,31,New Jersey,United States,9,Eliminated Week 5,5,250.0,30-40
17,Corbin Bleu,Karina Smirnoff,Actor/Actress,24,New York,United States,2,2nd Place,999,276.62845454545453,20-30
17,Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,39,Michigan,United States,6,Eliminated Week 9,9,265.55533333333335,30-40
17,Jack Osbourne,Cheryl Burke,TV Personality,27,,England,3,3rd Place,999,261.02245454545454,20-30
17,Keyshawn Johnson,Sharna Burgess,Athlete,41,California,United States,12,Eliminated Week 2,2,175.0,40-50
17,Leah Remini,Tony Dovolani,Actor/Actress,43,New York,United States,5,Eliminated Week 10,10,248.87489999999997,40-50
17,"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,25,,Chile,8,Eliminated Week 7,7,251.42857142857142,20-30
17,Valerie Harper,Tristan MacManus,Actor/Actress,74,New York,United States,10,Eliminated Week 4,4,185.0,60+
18,Amy Purdy,Derek Hough,Athlete,34,Nevada,United States,2,2nd Place,999,273.7916,30-40
18,Billy Dee Williams,Emma Slater,Actor/Actress,76,New York,United States,10,Withdrew,-1,30.0,60+
18,Candace Cameron Bure,Mark Ballas,Actor/Actress,37,California,United States,3,3rd Place,999,248.9998,30-40
18,Charlie White,Sharna Burgess,Athlete,26,Michigan,United States,5,Eliminated Week 9,9,270.69444444444446,20-30
18,Cody Simpson,Witney Carson,Singer/Rapper,17,,Australia,9,Eliminated Week 5,5,238.0,<20
18,Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,39,California,United States,6,Eliminated Week 8,8,263.4375,30-40
18,Diana Nyad,Henry Byalikov,Athlete,64,New York,United States,12,Eliminated Week 2,2,90.0,60+
18,Drew Carey,Cheryl Burke,Comedian,55,Ohio,United States,8,Eliminated Week 6,6,223.75,50-60
18,James Maslow,Peta Murgatroyd,Actor/Actress,23,New York,United States,4,Eliminated Week 10,10,266.25,20-30
18,Meryl Davis,Maksim Chmerkoskiy,Athlete,27,Michigan,United States,1,1st Place,999,280.75,20-30
18,NeNe Leakes,Tony Dovolani,TV Personality,46,New York,United States,7,Eliminated Week 7,7,236.78571428571428,40-50
18,Sean Avery,Karina Smirnoff,Athlete,33,,Canada,11,Eliminated Week 2,2,205.0,30-40
19,Alfonso Ribeiro,Witney Carson,Actor/Actress,42,New York,United States,1,1st Place,999,275.45454545454544,40-50
19,Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,42,,Italy,8,Eliminated Week 7,7,213.75,40-50
19,Bethany Mota,Derek Hough,Social Media Personality,18,California,United States,4,Eliminated Week 11,11,270.34090909090907,<20
19,Betsey Johnson,Tony Dovolani,Fashion Designer,72,Connecticut,United States,10,Eliminated Week 4,4,198.75,60+
19,Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,25,Hawaii,United States,3,3rd Place,999,271.3635,20-30
19,Jonathan Bennett,Allison Holker,Actor/Actress,33,Ohio,United States,9,Eliminated Week 6,6,215.0,30-40
19,Lea Thompson,Artem Chigvintsev,Actor/Actress,53,Minnesota,United States,6,Eliminated Week 9,9,254.16666666666666,50-60
19,Lolo Jones,Keo Motsepe,Athlete,32,Iowa,United States,13,Eliminated Week 1,1,165.0,30-40
19,Michael Waltrip,Emma Slater,Racing Driver,51,Kentucky,United States,7,Eliminated Week 8,8,192.1875,50-60
19,Randy Couture,Karina Smirnoff,Athlete,51,Washington,United States,11,Eliminated Week 3,3,212.5,50-60
19,Sadie Robertson,Mark Ballas,TV Personality,17,Louisiana,United States,2,2nd Place,999,263.74990909090906,<20
19,Tavis Smiley,Sharna Burgess,Radio Personality,50,Mississippi,United States,12,Eliminated Week 2,2,213.75,50-60
19,Tommy Chong,Peta Murgatroyd,Comedian,76,,Canada,5,Eliminated Week 10,10,214.875,60+
20,Charlotte McKinney,Keo Motsepe,Model,21,Florida,United States,11,Eliminated Week 3,3,175.0,20-30
20,Chris Soules,Witney Carson,TV Personality,33,Iowa,United States,5,Eliminated Week 8,8,212.8125,30-40
20,Michael Sam,Peta Murgatroyd,Athlete,25,Texas,United States,10,Eliminated Week 4,4,202.5,20-30
20,Nastia Liukin,Derek Hough,Athlete,25,,Russia,4,Eliminated Week 9,9,272.9166666666667,20-30
20,Noah Galloway,Sharna Burgess,Motivational Speaker,33,Alabama,United States,3,3rd Place,999,240.375,30-40
20,Patti LaBelle,Artem Chigvintsev,Singer/Rapper,70,Pennsylvania,United States,8,Eliminated Week 6,6,207.5,60+
20,Redfoo,Emma Slater,Singer/Rapper,39,California,United States,12,Eliminated Week 2,2,198.75,30-40
20,Riker Lynch,Allison Holker,Actor/Actress,23,Colorado,United States,2,2nd Place,999,272.25,20-30
20,Robert Herjavec,Kym Johnson,Entrepreneur,52,,Croatia,6,Eliminated Week 8,8,223.59375,50-60
20,Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,26,Kentucky,United States,1,1st Place,999,271.875,20-30
20,Suzanne Somers,Tony Dovolani,Actor/Actress,68,California,United States,9,Eliminated Week 5,5,201.0,60+
20,Willow Shields,Mark Ballas,Actor/Actress,14,New Mexico,United States,7,Eliminated Week 7,7,254.46428571428572,<20
21,Alek Skarlatos,Lindsay Arnold,Military,22,California,United States,3,3rd Place,999,246.36354545454543,20-30
